launch_name,date,success,rocket_id,payloads,launchpad_id
Starlink-11 (v1.0),2020-09-03T12:46:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Starlink-12 (v1.0),2020-10-06T11:29:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Starlink-13 (v1.0),2020-10-18T12:25:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Starlink-14 (v1.0),2020-10-24T15:31:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
GPS III SV04 (Sacagawea),2020-11-05T23:24:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Crew-1,2020-11-16T00:27:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Sentinel-6 Michael Freilich,2020-11-21T17:17:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509092b78566f87
Starlink-15 (v1.0),2020-11-25T02:13:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
CRS-21,2020-12-06T16:17:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
SXM-7,2020-12-13T17:30:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
NROL-108,2020-12-19T14:00:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Turksat 5A,2021-01-08T02:15:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Starlink-16 (v1.0),2021-01-20T13:02:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Transporter-1,2021-01-24T15:00:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Starlink-18 (v1.0),2021-02-04T06:19:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Starlink-19 (v1.0),2021-02-16T03:59:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Starlink-17 (v1.0),2021-03-04T08:24:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Starlink-20 (v1.0),2021-03-11T08:13:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Starlink-21 (v1.0),2021-03-14T10:01:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Starlink-22 (v1.0),2021-03-24T08:28:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Starlink-23 (v1.0),2021-04-07T16:34:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Crew-2,2021-04-23T09:49:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Starlink-24 (v1.0),2021-04-29T03:44:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Starlink-25 (v1.0),2021-05-04T19:01:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Starlink-27 (v1.0),2021-05-09T06:42:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Starlink-26 (v1.0) + Capella-6 + Tyvak-0130,2021-05-15T22:54:00.000Z,True,5e9d0d95eda69973a809d1ec,3,5e9e4502f509094188566f88
Starlink-28 (v1.0),2021-05-26T18:59:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
CRS-22 & IROSA,2021-06-03T17:29:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
SXM-8,2021-06-06T04:26:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
GPS III SV05,2021-06-17T16:09:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Transporter-2,2021-06-30T19:31:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
CRS-23,2021-08-29T07:14:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Starlink 2-1 (v1.5),2021-09-14T03:55:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509092b78566f87
Inspiration4,2021-09-16T00:02:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Crew-3,2021-11-11T02:03:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
